0.023673,0.98818,0,1
0.022581,0.98874,0,1
0.021936,0.98903,0,1
0.022364,0.98882,0,1
0.017844,0.99108,0,1
0.016831,0.99158,0,1
0.017633,0.99119,0,1
0.013569,0.99322,0,1
0.016867,0.9916,0,1
0.018807,0.9906,0,1
0.019712,0.99014,0,1
0.019772,0.99011,0,1
0.016368,0.99183,0,1
0.022832,0.98862,1,0
0.024125,0.98794,1,0
0.016115,0.99205,1,0
0.013733,0.99313,1,0
0.018463,0.99077,1,0
0.020793,0.9896,1,0
0.018424,0.99079,1,0
0.020868,0.98959,1,0
0.021442,0.98928,1,0
0.017234,0.9914,1,0
0.017315,0.99135,1,0
0.01661,0.9917,1,0
0.014755,0.99263,1,0
0.01873,0.99064,1,0
0.027013,0.98674,1,1
0.027366,0.98634,1,1
0.022472,0.98883,1,1
0.018221,0.99089,1,1
0.018408,0.9908,1,1
0.019184,0.99041,1,1
0.027005,0.98671,1,1
0.023943,0.98818,1,1
0.020752,0.98962,1,1
0.020123,0.98994,1,1
0.025084,0.98746,1,1
0.030177,0.98493,1,1
